"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"04/01/1993","273,58","273,58","273,58","273,58","4,11M","-0,28%"
"05/01/1993","273,31","273,31","273,31","273,31","2,99M","-0,10%"
"06/01/1993","274,84","274,84","274,84","274,84","5,38M","0,56%"
"07/01/1993","276,85","276,85","276,85","276,85","5,26M","0,73%"
"08/01/1993","279,11","279,11","279,11","279,11","3,53M","0,82%"
"11/01/1993","278,52","278,52","278,52","278,52","6,33M","-0,21%"
"12/01/1993","278,07","278,07","278,07","278,07","4,26M","-0,16%"
"13/01/1993","277,41","277,41","277,41","277,41","4,55M","-0,24%"
"14/01/1993","276,42","276,42","276,42","276,42","5,76M","-0,36%"
"15/01/1993","277,27","277,27","277,27","277,27","4,51M","0,31%"
"18/01/1993","277,94","277,94","277,94","277,94","116,79M","0,24%"
"19/01/1993","277,15","277,15","277,15","277,15","5,53M","-0,28%"
"21/01/1993","276,74","276,74","276,74","276,74","6,13M","-0,15%"
"22/01/1993","277,05","277,05","277,05","277,05","3,50M","0,11%"
"25/01/1993","276,70","276,70","276,70","276,70","4,09M","-0,13%"
"26/01/1993","276,29","276,29","276,29","276,29","3,64M","-0,15%"
"27/01/1993","275,97","275,97","275,97","275,97","9,74M","-0,12%"
"28/01/1993","277,42","277,42","277,42","277,42","7,21M","0,53%"
"29/01/1993","280,15","280,15","280,15","280,15","15,72M","0,98%"
"01/02/1993","280,89","280,89","280,89","280,89","28,48M","0,26%"
"02/02/1993","280,39","280,39","280,39","280,39","12,05M","-0,18%"
"03/02/1993","283,95","283,95","283,95","283,95","17,05M","1,27%"
"04/02/1993","289,20","289,20","289,20","289,20","26,09M","1,85%"
"05/02/1993","292,04","292,04","292,04","292,04","22,79M","0,98%"
"08/02/1993","295,81","295,81","295,81","295,81","25,41M","1,29%"
"09/02/1993","297,91","297,91","297,91","297,91","15,06M","0,71%"
"10/02/1993","299,40","299,40","299,40","299,40","13,57M","0,50%"
"11/02/1993","299,61","299,61","299,61","299,61","9,12M","0,07%"
"12/02/1993","300,54","300,54","300,54","300,54","6,77M","0,31%"
"15/02/1993","301,78","301,78","301,78","301,78","8,24M","0,41%"
"16/02/1993","301,99","301,99","301,99","301,99","10,06M","0,07%"
"17/02/1993","302,69","302,69","302,69","302,69","8,93M","0,23%"
"18/02/1993","301,92","301,92","301,92","301,92","10,38M","-0,25%"
"19/02/1993","300,44","300,44","300,44","300,44","6,22M","-0,49%"
"22/02/1993","301,22","301,22","301,22","301,22","4,18M","0,26%"
"23/02/1993","299,82","299,82","299,82","299,82","34,20M","-0,46%"
"24/02/1993","299,81","299,81","299,81","299,81","5,88M","0,00%"
"25/02/1993","300,22","300,22","300,22","300,22","4,33M","0,14%"
"26/02/1993","300,38","300,38","300,38","300,38","3,28M","0,05%"
"01/03/1993","300,45","300,45","300,45","300,45","5,20M","0,02%"
"02/03/1993","300,84","300,84","300,84","300,84","19,09M","0,13%"
"03/03/1993","302,08","302,08","302,08","302,08","7,35M","0,41%"
"04/03/1993","304,78","304,78","304,78","304,78","10,69M","0,89%"
"05/03/1993","307,19","307,19","307,19","307,19","7,43M","0,79%"
"08/03/1993","308,50","308,50","308,50","308,50","13,49M","0,43%"
"09/03/1993","310,08","310,08","310,08","310,08","11,87M","0,51%"
"10/03/1993","311,78","311,78","311,78","311,78","25,02M","0,55%"
"11/03/1993","312,69","312,69","312,69","312,69","17,23M","0,29%"
"12/03/1993","312,95","312,95","312,95","312,95","11,65M","0,08%"
"15/03/1993","311,70","311,70","311,70","311,70","5,15M","-0,40%"
"16/03/1993","311,09","311,09","311,09","311,09","13,50M","-0,20%"
"17/03/1993","310,78","310,78","310,78","310,78","43,19M","-0,10%"
"18/03/1993","310,37","310,37","310,37","310,37","6,05M","-0,13%"
"19/03/1993","312,07","312,07","312,07","312,07","9,89M","0,55%"
"29/03/1993","310,50","310,50","310,50","310,50","6,92M","-0,50%"
"30/03/1993","311,27","311,27","311,27","311,27","3,49M","0,25%"
"31/03/1993","310,76","310,76","310,76","310,76","5,10M","-0,16%"
"01/04/1993","311,13","311,13","311,13","311,13","2,81M","0,12%"
"02/04/1993","310,08","310,08","310,08","310,08","3,94M","-0,34%"
"05/04/1993","309,60","309,60","309,60","309,60","5,77M","-0,15%"
"06/04/1993","309,35","309,35","309,35","309,35","10,93M","-0,08%"
"07/04/1993","308,37","308,37","308,37","308,37","9,56M","-0,32%"
"08/04/1993","307,81","307,81","307,81","307,81","5,81M","-0,18%"
"12/04/1993","308,45","308,45","308,45","308,45","6,29M","0,21%"
"13/04/1993","307,23","307,23","307,23","307,23","3,53M","-0,40%"
"14/04/1993","307,28","307,28","307,28","307,28","4,53M","0,02%"
"15/04/1993","308,67","308,67","308,67","308,67","7,41M","0,45%"
"16/04/1993","308,68","308,68","308,68","308,68","5,66M","0,00%"
"19/04/1993","310,49","310,49","310,49","310,49","16,01M","0,59%"
"20/04/1993","312,00","312,00","312,00","312,00","5,55M","0,49%"
"21/04/1993","312,00","312,00","312,00","312,00","8,34M","0,00%"
"22/04/1993","311,28","311,28","311,28","311,28","6,83M","-0,23%"
"23/04/1993","310,78","310,78","310,78","310,78","5,34M","-0,16%"
"26/04/1993","311,14","311,14","311,14","311,14","5,88M","0,12%"
"27/04/1993","311,27","311,27","311,27","311,27","5,89M","0,04%"
"28/04/1993","312,19","312,19","312,19","312,19","4,77M","0,30%"
"29/04/1993","313,22","313,22","313,22","313,22","6,82M","0,33%"
"30/04/1993","314,10","314,10","314,10","314,10","5,09M","0,28%"
"03/05/1993","313,69","313,69","313,69","313,69","13,16M","-0,13%"
"04/05/1993","313,91","313,91","313,91","313,91","5,33M","0,07%"
"05/05/1993","313,61","313,61","313,61","313,61","4,86M","-0,10%"
"07/05/1993","315,08","315,08","315,08","315,08","5,29M","0,47%"
"10/05/1993","316,37","316,37","316,37","316,37","5,05M","0,41%"
"11/05/1993","316,41","316,41","316,41","316,41","8,86M","0,01%"
"12/05/1993","319,12","319,12","319,12","319,12","7,66M","0,86%"
"13/05/1993","321,84","321,84","321,84","321,84","10,52M","0,85%"
"14/05/1993","323,55","323,55","323,55","323,55","8,18M","0,53%"
"17/05/1993","325,43","325,43","325,43","325,43","11,76M","0,58%"
"18/05/1993","325,32","325,32","325,32","325,32","9,48M","-0,03%"
"19/05/1993","326,41","326,41","326,41","326,41","12,22M","0,34%"
"21/05/1993","326,44","326,44","326,44","326,44","8,70M","0,01%"
"24/05/1993","328,80","328,80","328,80","328,80","15,40M","0,72%"
"25/05/1993","330,64","330,64","330,64","330,64","18,04M","0,56%"
"26/05/1993","331,91","331,91","331,91","331,91","20,89M","0,38%"
"27/05/1993","333,92","333,92","333,92","333,92","18,15M","0,61%"
"28/05/1993","333,37","333,37","333,37","333,37","22,11M","-0,16%"
"31/05/1993","341,85","341,85","341,85","341,85","22,72M","2,54%"
"02/06/1993","345,99","345,99","345,99","345,99","17,95M","1,21%"
"03/06/1993","349,82","349,82","349,82","349,82","31,94M","1,11%"
"04/06/1993","349,66","349,66","349,66","349,66","11,49M","-0,05%"
"07/06/1993","349,34","349,34","349,34","349,34","14,46M","-0,09%"
"08/06/1993","352,00","352,00","352,00","352,00","9,33M","0,76%"
"09/06/1993","352,83","352,83","352,83","352,83","11,16M","0,24%"
"10/06/1993","351,38","351,38","351,38","351,38","19,18M","-0,41%"
"11/06/1993","350,30","350,30","350,30","350,30","13,97M","-0,31%"
"14/06/1993","351,34","351,34","351,34","351,34","7,90M","0,30%"
"15/06/1993","351,70","351,70","351,70","351,70","8,87M","0,10%"
"16/06/1993","354,01","354,01","354,01","354,01","8,74M","0,66%"
"17/06/1993","354,93","354,93","354,93","354,93","10,71M","0,26%"
